,Month,DayOfWeek,Time,NASDelay
6745781,12,6,0,7.0
1027835,2,1,9,28.0
2729170,5,5,22,3.0
5904657,10,1,7,27.0
2917812,5,4,11,21.0
1017540,2,3,13,22.0
4767328,8,1,7,19.0
1023638,2,7,13,3.0
2093143,4,7,8,11.0
3556192,6,6,11,44.0
1064444,2,7,13,41.0
6677151,12,6,16,56.0
6656404,12,1,17,9.0
4602191,8,6,15,13.0
2276391,4,5,17,23.0
4801544,8,7,11,20.0
3889472,7,1,22,1.0
4748967,8,6,14,15.0
1704043,3,5,16,9.0
3097989,6,7,15,17.0
1280017,3,7,11,6.0
6941509,12,2,7,15.0
4671144,8,5,9,2.0
6235467,11,5,8,24.0
2908302,5,3,7,22.0
4272617,8,4,20,10.0
4928300,9,7,13,16.0
6231018,11,4,19,25.0
2260516,4,3,12,6.0
5233164,9,4,19,11.0
4782417,8,2,17,15.0
579724,1,6,17,8.0
6174108,11,3,18,17.0
6890656,12,6,11,77.0
1692519,3,7,10,22.0
4604699,8,2,9,25.0
5437870,10,7,19,1.0
3199584,6,7,6,33.0
2202033,4,7,14,172.0
5151067,9,7,18,6.0
4000304,7,5,6,16.0
2909739,5,2,6,11.0
589038,1,2,11,18.0
6637231,12,5,15,4.0
5205334,9,5,9,40.0
484519,1,2,11,4.0
1416403,3,1,10,20.0
4801495,8,6,6,15.0
1293491,3,7,18,2.0
1722343,3,4,17,9.0
3207846,6,5,12,18.0
2723659,5,3,13,34.0
1266408,3,7,21,9.0
6621116,12,1,13,8.0
4572674,8,2,12,75.0
3843941,7,5,6,32.0
892789,2,6,9,20.0
4349868,8,3,18,1.0
321086,1,3,15,18.0
4217956,7,2,17,32.0
1297550,3,1,16,126.0
6964555,12,6,20,20.0
348535,1,3,23,20.0
4662908,8,7,10,82.0
611520,2,1,11,52.0
611800,2,1,18,3.0
1543592,3,5,21,8.0
5605881,10,5,7,21.0
1487323,3,5,20,25.0
6472328,12,5,14,42.0
616855,2,3,14,27.0
5171617,9,4,16,1.0
6507774,12,2,19,84.0
5345204,9,4,14,28.0
5957008,11,5,20,24.0
3570486,6,7,19,16.0
4877028,9,5,19,2.0
3516033,6,7,19,3.0
4659753,8,6,7,125.0
3252879,6,1,8,15.0
1899540,4,4,13,27.0
3439591,6,5,9,1.0
5666538,10,5,16,26.0
2068030,4,7,18,21.0
158667,1,1,7,2.0
6029744,11,7,14,228.0
4206503,7,1,17,124.0
2274816,4,5,18,26.0
945753,2,1,5,15.0
547206,1,3,20,21.0
1350329,3,1,6,79.0
91764,1,4,12,7.0
4141852,7,4,16,6.0
6805996,12,5,15,6.0
6724595,12,6,13,6.0
4575477,8,6,9,16.0
700401,2,4,17,34.0
3320697,6,3,21,114.0
1688354,3,5,20,7.0
3750813,7,5,17,33.0
3311010,6,6,18,5.0
6617592,12,4,13,9.0
3380866,6,4,9,4.0
1648739,3,5,7,15.0
110432,1,3,9,21.0
1765464,3,7,14,10.0
6102046,11,3,17,2.0
2714856,5,4,16,1.0
1250493,3,2,7,204.0
3957913,7,7,12,288.0
6556825,12,2,9,119.0
3517289,6,6,7,16.0
653691,2,7,15,1.0
6359239,11,5,19,2.0
4799828,8,4,19,5.0
2737143,5,5,14,32.0
3902078,7,4,17,8.0
5836374,10,2,6,12.0
4689149,8,3,17,3.0
4384153,8,6,6,18.0
3042873,6,2,19,6.0
3464090,6,7,9,16.0
6952530,12,5,14,10.0
1591283,3,5,15,282.0
1707506,3,6,15,32.0
181222,1,2,15,215.0
1454835,3,5,19,23.0
1036206,2,1,6,27.0
2190443,4,2,13,8.0
1335798,3,6,8,82.0
6585788,12,2,12,109.0
3885860,7,5,8,18.0
1703408,3,1,19,131.0
1672502,3,4,20,4.0
6617827,12,6,9,20.0
3788622,7,7,13,133.0
1439797,3,7,21,1.0
1903259,4,6,17,33.0
2933327,5,5,15,82.0
6842431,12,3,10,85.0
3572341,6,3,11,20.0
6821851,12,3,14,1.0
325019,1,3,14,11.0
110981,1,5,18,7.0
1622449,3,7,16,59.0
283072,1,2,17,25.0
1692620,3,1,18,19.0
6611838,12,6,19,42.0
4548877,8,1,13,89.0
2324945,4,2,18,10.0
25043,1,4,16,15.0
2770616,5,5,8,5.0
3474258,6,5,10,33.0
5846012,10,1,8,11.0
3368580,6,6,13,18.0
6232472,11,5,13,69.0
6808666,12,2,9,15.0
1073112,2,1,7,15.0
580685,1,3,18,60.0
5625118,10,1,20,24.0
254960,1,4,15,158.0
2208877,4,5,15,12.0
439897,1,4,13,1.0
2208050,4,5,12,17.0
2230731,4,4,18,28.0
862972,2,3,18,7.0
6951849,12,3,7,32.0
4800581,8,4,20,18.0
5447267,10,3,13,5.0
5335173,9,2,9,45.0
2845975,5,7,13,27.0
3149338,6,3,13,3.0
2710879,5,3,16,17.0
172441,1,3,13,91.0
6989114,12,7,20,19.0
856476,2,4,20,39.0
1492182,3,1,11,18.0
1022190,2,3,13,21.0
964355,2,3,12,17.0
1349091,3,1,6,37.0
2001682,4,3,20,23.0
4504021,8,5,15,73.0
4590532,8,5,23,2.0
1741971,3,1,15,31.0
405182,1,7,14,21.0
4557523,8,5,11,15.0
3363036,6,6,22,5.0
420188,1,2,8,44.0
5500704,10,6,15,20.0
5911613,10,5,13,22.0
6572638,12,3,16,40.0
6694595,12,1,13,213.0
2811223,5,5,11,12.0
5223380,9,5,10,70.0
4744670,8,7,12,3.0
432689,1,2,21,80.0
2734982,5,4,18,20.0
2501460,5,1,19,19.0
3447525,6,4,16,81.0
1405552,3,7,9,28.0
932542,2,1,12,23.0
483779,1,3,17,16.0
4985074,9,6,16,10.0
5330848,9,2,8,1.0
2351951,4,7,8,45.0
447657,1,2,19,4.0
4287559,8,2,21,8.0
236309,1,2,9,3.0
3135388,6,6,19,20.0
